estacion_id,fecha,lluvia_total,temp_media
CAAZ,2009-02-01,255.1,25.571428571428573
CAAZ,2009-03-01,22.5,25.425806451612903
CAAZ,2009-04-01,34.4,22.773333333333333
CAAZ,2009-05-01,239.7,19.580645161290324
CAAZ,2009-06-01,92.60000000000001,14.316666666666666
CAAZ,2009-07-01,171.9,13.496774193548386
CAAZ,2009-08-01,100.4,18.56451612903226
CAAZ,2009-09-01,168.9,18.636666666666667
CAAZ,2009-10-01,248.6,22.467741935483872
CAAZ,2009-11-01,244.3,26.476666666666667
CAAZ,2009-12-01,263.1,25.84193548387097
CAAZ,2010-01-01,96.0,26.635483870967743
CAAZ,2010-02-01,237.60000000000002,27.275000000000002
CAAZ,2010-03-01,343.0,25.09032258064516
CAAZ,2010-04-01,59.3,21.60666666666667
CAAZ,2010-05-01,184.1,16.887096774193548
CAAZ,2010-06-01,52.4,17.503333333333334
CAAZ,2010-07-01,151.2,15.600000000000001
CAAZ,2010-08-01,19.0,17.19677419354839
CAAZ,2010-09-01,143.7,19.396666666666665
CAAZ,2010-10-01,169.2,20.125806451612902
CAAZ,2010-11-01,71.5,22.233333333333334
CAAZ,2010-12-01,367.9,25.08709677419355
CAAZ,2011-01-01,37.7,27.496774193548386
CAAZ,2011-02-01,192.6,26.464285714285715
CAAZ,2011-03-01,226.6,26.351612903225806
CAAZ,2011-04-01,199.5,23.240000000000002
CAAZ,2011-05-01,61.0,19.796774193548387
CAAZ,2011-06-01,91.9,17.44333333333333
CAAZ,2011-07-01,166.8,17.309677419354838
CAAZ,2011-08-01,40.1,19.238709677419354
CAAZ,2011-09-01,57.4,21.533333333333335
CAAZ,2011-10-01,249.7,23.84193548387097
CAAZ,2011-11-01,162.3,25.253333333333334
CAAZ,2011-12-01,86.0,25.56451612903226
CAAZ,2012-01-01,51.8,26.903225806451612
CAAZ,2012-02-01,43.7,27.851724137931036
CAAZ,2012-03-01,45.6,24.574193548387097
CAAZ,2012-04-01,303.1,21.246666666666666
CAAZ,2012-05-01,36.6,19.64516129032258
CAAZ,2012-06-01,67.8,17.266666666666666
CAAZ,2012-07-01,93.2,15.061290322580644
CAAZ,2012-08-01,83.8,20.86774193548387
CAAZ,2012-09-01,33.8,21.790000000000003
CAAZ,2012-10-01,291.6,24.283870967741933
CAAZ,2012-11-01,187.4,24.83
CAAZ,2012-12-01,169.6,27.183870967741935
CAAZ,2013-01-01,74.5,26.22258064516129
CAAZ,2013-02-01,54.7,25.5
CAAZ,2013-03-01,159.9,22.851612903225806
CAAZ,2013-04-01,295.6,21.206666666666667
CAAZ,2013-05-01,387.8,18.309677419354838
CAAZ,2013-06-01,200.9,16.976666666666667
CAAZ,2013-07-01,27.4,16.93548387096774
CAAZ,2013-08-01,121.19999999999999,15.23225806451613
CAAZ,2013-09-01,173.4,18.886666666666667
CAAZ,2013-10-01,69.8,22.438709677419357
CAAZ,2013-11-01,128.6,24.523333333333333
CAAZ,2013-12-01,38.9,26.774193548387096
CAAZ,2014-01-01,95.80000000000001,27.141935483870967
CAAZ,2014-02-01,31.400000000000002,27.77857142857143
CAAZ,2014-03-01,141.5,23.838709677419356
CAAZ,2014-04-01,371.7,21.85666666666667
CAAZ,2014-05-01,184.6,18.4741935483871
CAAZ,2014-06-01,208.9,16.886666666666667
CAAZ,2014-07-01,207.5,17.17096774193548
CAAZ,2014-08-01,37.0,19.261290322580646
CAAZ,2014-09-01,114.2,21.89333333333333
CAAZ,2014-10-01,75.6,25.219354838709677
CAAZ,2014-11-01,329.2,24.006666666666668
CAAZ,2014-12-01,114.4,25.46451612903226
CAAZ,2015-01-01,224.1,26.66774193548387
CAAZ,2015-02-01,60.4,26.34642857142857
CAAZ,2015-03-01,108.0,25.10967741935484
CAAZ,2015-04-01,168.6,22.0
CAAZ,2015-05-01,431.8,19.47741935483871
CAAZ,2015-06-01,103.8,19.029999999999998
CAAZ,2015-07-01,134.8,16.783870967741933
CAAZ,2015-08-01,43.0,22.151612903225807
CAAZ,2015-09-01,29.3,21.096666666666668
CAAZ,2015-10-01,204.4,22.845161290322583
CAAZ,2015-11-01,212.2,23.706666666666667
CAAZ,2015-12-01,391.2,25.4741935483871
